dateAndTime,Reactions,Comments,Shares
18-Oct,106,9,2
17-Oct,220,15,11
16-Oct,205,7,9
15-Oct,234,4,3
14-Oct,234,18,4
12-Oct,173,14,7
12-Oct,84,4,1
12-Oct,334,13,5
11-Oct,123,91,38
11-Oct,140,18,1
10-Oct,154,18,9
09-Oct,300,22,5
08-Oct,505,15,5
07-Oct,221,37,4
06-Oct,300,23,1
05-Oct,105,13,5
05-Oct,157,12,5
05-Oct,122,16,0
04-Oct,125,13,8
02-Oct,142,18,18
01-Oct,110,1,5
30-Sep,125,24,1
30-Sep,123,3,0
29-Sep,132,4,0
28-Sep,124,15,5
27-Sep,212,16,7
26-Sep,166,68,0
25-Sep,123,11,7
25-Sep,275,9,6
24-Sep,144,25,19
24-Sep,129,307,28
24-Sep,325,273,39
23-Sep,220,10,9
22-Sep,217,23,11
21-Sep,210,15,13
20-Sep,351,37,58
19-Sep,371,16,7
19-Sep,105,61,6
18-Sep,124,9,7
17-Sep,355,10,6
17-Sep,127,23,0
16-Sep,284,8,4
