dateAndTime,Reactions,Comments,Shares
20-Oct,31,2,1
19-Oct,41,3,2
18-Oct,20,3,2
17-Oct,53,6,1
16-Oct,102,18,12
16-Oct,104,11,1
15-Oct,40,1,0
15-Oct,109,4,2
14-Oct,66,2,0
13-Oct,204,12,26
13-Oct,76,1,5
13-Oct,21,5,3
12-Oct,125,14,14
12-Oct,88,3,1
11-Oct,149,5,5
10-Oct,210,2,5
10-Oct,41,1,1
09-Oct,203,7,2
08-Oct,22,4,0
07-Oct,109,3,4
06-Oct,28,1,3
05-Oct,59,6,4
28-Feb,103,6,0
04-Oct,85,6,2
03-Oct,103,3,1
02-Oct,34,4,0
01-Oct,101,1,4
30-Sep,126,2,1
29-Sep,30,2,1
28-Sep,22,3,3
27-Sep,105,10,2
26-Sep,28,2,0
25-Sep,108,8,1
24-Sep,95,4,1
23-Sep,50,22,7
23-Sep,56,25,3
23-Sep,93,4,0
23-Sep,43,9,0
22-Sep,31,10,1
21-Sep,43,5,3
20-Sep,121,1,5
19-Sep,52,56,7
